NodeID,Code,Latitude,Longitude,Height,LinkID1,LinkID2,LinkID3,LinkID4,LinkID5,LinkID6
00001B000000000309AA11A59CBF9A02,2,35.11.12.3727,136.56.31.9896,0,00001B000000000309AA11A59CBF99C1,00001B000000000309AA11259CBF7FC1,,,,
00001B000000000309AA4E259D1C18C2,2,35.11.24.4336,136.56.50.4267,-0.5,00001B000000000309AA4F259D1B9881,00001B000000000309AA4E259D1C18C1,,,,
00001B000000000309AA01A59CFE19C2,2,35.11.9.1709,136.56.44.4576,1.5,00001B000000000309AA04259CFE9A02,00001B000000000309AA01A59CFE19C1,,,,
00001B000000000309AA01259CFE19C2,2,35.11.9.044,136.56.44.4176,1.5,00001B000000000309AA01259CFE19C1,00001B000000000309AA01A59CFE19C1,,,,
00001B000000000309AA00A59CFE19C2,2,35.11.8.9997,136.56.44.4036,1.5,00001B000000000309AA01259CFE19C1,00001B000000000309AA00A59CFE19C1,,,,
00001B000000000309AA00259CFD99C3,2,35.11.8.8594,136.56.44.3593,1.5,00001B000000000309AA00A59CFE19C1,00001B000000000309AA00259CFD99C1,,,,
00001B000000000309AA00259CFD99C4,2,35.11.8.8176,136.56.44.3462,1.5,00001B000000000309AA00259CFD99C1,00001B000000000309AA00259CFD99C2,,,,
00001B000000000309A9FF259CFD99C2,2,35.11.8.6803,136.56.44.3029,1.5,00001B000000000309AA00259CFD99C2,00001B000000000309A9FF259CFD99C1,,,,
00001B000000000309A9FF259CFD19C1,2,35.11.8.6552,136.56.44.2949,1.5,00001B000000000309A9FF259CFD99C1,00001B000000000309A9FF259CFDFFC1,,,,
00001B000000000309AA05A59CFC19C2,2,35.11.9.9884,136.56.44.0926,1.5,00001B000000000309AA05A59CFC19C1,00001B000000000309AA04A59CFC1A01,,,,
00001B000000000309AA06A59CFC99C3,2,35.11.10.1293,136.56.44.1338,1.5,00001B000000000309AA05A59CFC19C1,00001B000000000309AA06A59CFC99C1,,,,
00001B000000000309AA06A59CFC99C4,2,35.11.10.1743,136.56.44.147,1.5,00001B000000000309AA06A59CFC99C1,00001B000000000309AA06A59CFC99C2,,,,
00001B000000000309AA07A59CFC99C3,2,35.11.10.3133,136.56.44.1876,1.5,00001B000000000309AA06A59CFC99C2,00001B000000000309AA07A59CFC99C1,,,,
00001B000000000309AA07A59CFC99C4,2,35.11.10.3537,136.56.44.1994,1.5,00001B000000000309AA07A59CFC99C1,00001B000000000309AA07A59CFC99C2,,,,
00001B000000000309AA08259CFD19C2,2,35.11.10.4906,136.56.44.2394,1.5,00001B000000000309AA07A59CFC99C2,00001B000000000309AA08259CFD19C1,,,,
00001B000000000309AA08A59CFD7FC2,2,35.11.10.5159,136.56.44.2467,0,00001B000000000309AA08259CFD19C1,00001B000000000309AA08A59CFD7FC1,,,,
00001B000000000309AA11A59CC519C2,2,35.11.12.3019,136.56.33.0818,1.5,00001B000000000309AA11A59CC519C1,00001B000000000309AA10A59CC51A02,,,,
00001B000000000309AA12259CC599C3,2,35.11.12.4448,136.56.33.1254,1.5,00001B000000000309AA11A59CC519C1,00001B000000000309AA12259CC599C1,,,,
00001B000000000309AA12259CC599C4,2,35.11.12.484,136.56.33.1373,1.5,00001B000000000309AA12259CC599C1,00001B000000000309AA12259CC599C2,,,,
00001B000000000309AA13259CC599C3,2,35.11.12.6347,136.56.33.1832,1.5,00001B000000000309AA12259CC599C2,00001B000000000309AA13259CC599C1,,,,
00001B000000000309AA13259CC599C4,2,35.11.12.6763,136.56.33.1959,1.5,00001B000000000309AA13259CC599C1,00001B000000000309AA13259CC599C2,,,,
00001B000000000309AA14259CC619C2,2,35.11.12.8048,136.56.33.235,1.5,00001B000000000309AA13259CC599C2,00001B000000000309AA14259CC619C1,,,,
00001B000000000309AA14259CC619C3,2,35.11.12.8268,136.56.33.2417,1.5,00001B000000000309AA14259CC619C1,00001B000000000309AA14A59CC67FC2,,,,
00001B000000000309AA0F259CBF19C2,2,35.11.11.8834,136.56.31.8928,1.5,00001B000000000309AA0F259CBF19C1,00001B000000000309AA0FA59CBF99C1,,,,
00001B000000000309AA0EA59CBF19C2,2,35.11.11.7361,136.56.31.8499,1.5,00001B000000000309AA0F259CBF19C1,00001B000000000309AA0EA59CBF19C1,,,,
00001B000000000309AA15259CC17FC2,2,35.11.13.0808,136.56.32.2541,0,00001B000000000309AA15259CC119C1,00001B000000000309AA15259CC17FC1,,,,
00001B000000000309AA15259CC119C3,2,35.11.13.0557,136.56.32.2463,1.5,00001B000000000309AA15259CC119C1,00001B000000000309AA15259CC119C2,,,,
00001B000000000309AA0EA59CBF7FC2,2,35.11.11.7109,136.56.31.8426,0,00001B000000000309AA0EA59CBF19C1,00001B000000000309AA0EA59CBF7FC1,,,,
00001B000000000309AA0FA59CBF99C2,2,35.11.11.9186,136.56.31.9031,1.5,00001B000000000309AA0FA59CBF99C1,00001B000000000309AA10259CBF99C1,,,,
00001B000000000309AA10259CBF99C2,2,35.11.12.0599,136.56.31.9442,1.5,00001B000000000309AA10259CBF99C1,00001B000000000309AA10A59CBF99C1,,,,
00001B000000000309AA10A59CBF99C2,2,35.11.12.1019,136.56.31.9564,1.5,00001B000000000309AA10A59CBF99C1,00001B000000000309AA11259CBF99C1,,,,
00001B000000000309AA11259CBF99C2,2,35.11.12.2269,136.56.31.9928,1.5,00001B000000000309AA11259CBF99C1,00001B000000000309AA11A59CC01A02,,,,
00001B000000000309AA13259CC099C2,2,35.11.12.6808,136.56.32.1306,1.5,00001B000000000309AA13259CC099C1,00001B000000000309AA13A59CC099C1,,,,
00001B000000000309AA12A59CC019C1,2,35.11.12.5499,136.56.32.0902,1.5,00001B000000000309AA13259CC099C1,00001B000000000309AA12A59CC01A01,,,,
00001B000000000309AA13A59CC099C2,2,35.11.12.7252,136.56.32.1443,1.5,00001B000000000309AA13A59CC099C1,00001B000000000309AA14259CC099C1,,,,
00001B000000000309AA14259CC099C2,2,35.11.12.8608,136.56.32.1862,1.5,00001B000000000309AA14259CC099C1,00001B000000000309AA14A59CC099C1,,,,
00001B000000000309AA14A59CC099C2,2,35.11.12.9053,136.56.32.1999,1.5,00001B000000000309AA15259CC119C2,00001B000000000309AA14A59CC099C1,,,,
00001B000000000309AA4D259D1C1981,2,35.11.24.2273,136.56.50.4624,1,00001B000000000309AA4D259D1C19C1,00001B000000000309AA4D259D1C9981,,,,
00001B000000000309AA4DA59D1B9A02,2,35.11.24.3692,136.56.50.3879,2,00001B000000000309AA4D259D1C19C1,00001B000000000309AA4DA59D1B9A01,,,,
00001B000000000309AA4D259D1C9982,2,35.11.24.218,136.56.50.5816,1,00001B000000000309AA4D259D1C9981,00001B000000000309AA4DA59D1D18C2,,,,
00001B000000000309AA48259D159A01,2,35.11.23.2196,136.56.49.1807,2,00001B000000000309AA48259D1599C1,00001B000000000309AA47A59D169A02,,,,
00001B000000000309AA48A59D1619C2,2,35.11.23.3673,136.56.49.2269,1.5,00001B000000000309AA48259D1599C1,00001B000000000309AA48A59D1619C1,,,,
00001B000000000309AA03259D021A03,2,35.11.9.4653,136.56.45.2384,2,00001B000000000309AA03259D021A01,00001B000000000309AA03259D021A02,00001B000000000309AA04259CFE9A01,,,
00001B000000000309AA05259D029A01,2,35.11.9.8671,136.56.45.3668,2,00001B000000000309AA03259D021A01,,,,,
00001B000000000309AA02259D061A02,2,35.11.9.2869,136.56.46.012,2,00001B000000000309AA03259D021A02,00001B000000000309AA02259D061A01,,,,
00001B000000000309AA04259CFE9A03,2,35.11.9.6132,136.56.44.597,2,00001B000000000309AA04259CFE9A02,00001B000000000309AA04A59CFC1A02,00001B000000000309AA04259CFE9A01,,,
