ExitID,NodeID,FacilityID,Name,出入口の有効幅員,扉の種類,段差
00001B000000000309A911A59A539981,00001B000000000309A911A59A5398C1,00001B000000000309A926259A4F9A01,セントラルパークゲート６Ｂ出入口,3,0,3
00001B000000000309A917A59A531981,00001B000000000309A917A59A5318C3,00001B000000000309A926259A4F9A01,セントラルパークゲート６Ａ出入口,3,0,3
00001B000000000309A91E259A521981,00001B000000000309A91E259A527FC1,00001B000000000309A926259A4F9A01,セントラルパークゲート４Ｂ出入口,3,0,3
00001B000000000309A92F259A501981,00001B000000000309A92F259A5018C2,00001B000000000309A8E2A59A619A82,セントラルパークゲート２Ａ出入口,3,0,3
00001B000000000309A929A59A4B9981,00001B000000000309A929A59A4B98C3,00001B000000000309A8E2A59A619A82,セントラルパークゲート２Ｂ出入口,3,0,2
00001B000000000309A923259A4C1981,00001B000000000309A923259A4C18C2,00001B000000000309A926259A4F9A01,セントラルパークゲート４Ａ出入口,3,0,2
00001B000000000309A922259A3F9981,00001B000000000309A922259A3FFFC2,00001B000000000309A926259A4F9A01,久屋大通駅３出入口,3,0,3
00001B000000000309A921A59A369981,00001B000000000309A921A59A3698C2,00001B000000000309A926259A4F9A01,久屋大通駅４出入口,3,0,3
00001B000000000309A928259A351981,00001B000000000309A928259A3518C3,00001B000000000309A926259A4F9A01,久屋大通駅１出入口,3,0,3
00001B000000000309A929259A3E9981,00001B000000000309A929259A3EFFC2,00001B000000000309A926259A4F9A01,久屋大通駅２出入口,3,0,3
00001B000000000309A920A599C71981,00001B000000000309A920A599C718C3,00001B000000000309A93825998E9A02,丸の内駅４出入口,3,0,3
00001B000000000309A91AA599C81981,00001B000000000309A91AA599C818C2,00001B000000000309A93825998E9A02,丸の内駅５出入口,3,0,3
00001B000000000309A9182599A118C3,00001B000000000309A9182599A118C2,00001B000000000309A93825998E9A02,丸の内駅６出入口,3,0,3
00001B000000000309A958A5998F1981,00001B000000000309A958A5998F7FC1,00001B000000000309A93825998E9A02,丸の内駅１出入口,3,0,3
00001B000000000309A94E2599881981,00001B000000000309A94E2599887FC1,00001B000000000309A93825998E9A02,丸の内駅８出入口,3,0,3
00001B000000000309A91E25999B9981,00001B000000000309A91E25999B98C2,00001B000000000309A93825998E9A02,丸の内駅３出入口,3,0,3
00001B000000000309A90FA5990A9981,00001B000000000309A90FA5990AFFC2,00001B000000000309A90BA5990A9A01,国際センター駅１出入口,2,0,3
00001B000000000309A908A599161981,00001B000000000309A908A5991618C2,00001B000000000309A90BA5990A9A01,国際センター駅３出入口,2,0,3
00001B000000000309A907A599069981,00001B000000000309A907A5990698C3,00001B000000000309A90BA5990A9A01,国際センター駅４出入口,2,0,3
00001B000000000309A90C2598FE9981,00001B000000000309A90C2598FEFFC2,,ユニモール１４出入口,2,0,3
00001B000000000309A9062598FD9981,00001B000000000309A9062598FDFFC2,,ユニモール１５出入口,2,0,3
00001B000000000309A904A598F59981,00001B000000000309A904A598F5FFC2,,ユニモール１５出入口,2,0,3
00001B000000000309A9042598F21981,00001B000000000309A9042598F27FC2,,ユニモール１３出入口,2,0,3
00001B000000000309A90A2598F39981,00001B000000000309A90A2598F3FFC2,,ユニモール１４出入口,2,0,3
00001B000000000309A909A598F09981,00001B000000000309A909A598F0FFC1,,ユニモール１２出入口,2,0,3
00001B000000000309A902A598EA1981,00001B000000000309A902A598EA7FC3,,ユニモール１３出入口,2,0,3
00001B000000000309A908A598EA9981,00001B000000000309A908A598EAFFC2,,ユニモール１２出入口,2,0,3
00001B000000000309A9022598E69981,00001B000000000309A9022598E6FFC5,,ユニモール１１出入口,2,0,3
00001B000000000309A9012598E11981,00001B000000000309A9012598E17FC2,,ユニモール１１出入口,2,0,3
00001B000000000309A9082598E61981,00001B000000000309A9082598E67FC2,,ユニモール１０出入口,2,0,3
00001B000000000309A906A598DF9981,00001B000000000309A906A598DFFFC1,,ユニモール１０出入口,2,0,3
00001B000000000309A9052598D59981,00001B000000000309A9052598D5FFC2,,ユニモール８出入口,2,0,3
00001B000000000309A8FFA598D71981,00001B000000000309A8FFA598D77FC2,,ユニモール９出入口,2,0,3
00001B000000000309A8FEA598D19981,00001B000000000309A8FEA598D1FFC2,,ユニモール７出入口,2,0,3
00001B000000000309A8FDA598CB9981,00001B000000000309A8FDA598CBFFC2,,ユニモール７出入口,2,0,3
00001B000000000309A9042598D09981,00001B000000000309A9042598D0FFC2,,ユニモール６出入口,2,0,3
00001B000000000309A9052598C99981,00001B000000000309A9052598C9FFC1,,ユニモール６出入口,2,0,3
00001B000000000309A9022598C49981,00001B000000000309A9022598C4FFC2,,ユニモール４出入口,2,0,3
00001B000000000309A9012598BE9981,00001B000000000309A9012598BEFFC2,,ユニモール４出入口,2,0,3
00001B000000000309A8FC2598C59981,00001B000000000309A8FC2598C5FFC1,,ユニモール５出入口,2,0,3
00001B000000000309A8FBA598BF9981,00001B000000000309A8FBA598BFFFC1,,ユニモール５出入口,2,0,3
00001B000000000309A8FB2598BC1981,00001B000000000309A8FB2598BC7FC2,,ユニモール３出入口,2,0,3
00001B000000000309A8FA2598B71981,00001B000000000309A8FA2598B77FC2,,ユニモール３出入口,2,0,3
00001B000000000309A8F02598B81981,00001B000000000309A8F02598B87FC2,00001B000000000309A8E32598BD3401,ミッドランドスクエア出入口,3,1,0
00001B000000000309A8FD2598959981,00001B000000000309A8FD259895FFC1,00001B000000000309A8F2A5987D1A03,名古屋駅桜通口,3,4,0
00001B000000000309A8F92598991981,00001B000000000309A8F92598997FC1,00001B000000000309A8F2A5987D1A01,桜通線名古屋駅１１出入口,3,0,0
00001B000000000309A8F6A598991981,00001B000000000309A8F6A598997FC1,00001B000000000309A8F2A5987D1A03,名古屋駅桜通口,3,4,0
00001B000000000309A8EF25989D9981,00001B000000000309A8EF25989DFFC1,00001B000000000309A8F2A5987D1A01,桜通線名古屋駅１２出入口,3,0,0
00001B000000000309A8F0A598A31981,00001B000000000309A8F0A598A37FC1,00001B000000000309A8F2A5987D1A02,東山線名古屋駅８出入口,3,0,0
00001B000000000309A8F82598B51981,00001B000000000309A8F82598B57FC2,00001B000000000309A8F2A5987D1A03,名古屋駅５出入口,3,0,3
00001B000000000309A8EFA598B21981,00001B000000000309A8EFA598B27FC2,00001B000000000309A8F2A5987D1A03,名古屋駅６出入口,2,0,3
00001B000000000309A8EBA598B31981,00001B000000000309A8EBA598B37FC2,00001B000000000309A8F2A5987D1A03,名古屋駅７出入口,3,0,3
00001B000000000309A8EB2598B39981,00001B000000000309A8EB2598B3FFC1,,サンロードＳ１出入口,2,0,3
00001B000000000309A8EBA598AA1981,00001B000000000309A8EBA598AA7FC1,,テルミナ２出入口,3,0,0
00001B000000000309A8F625985E9981,00001B000000000309A8F625985EFFC2,,エスカＥ１７出入口,2,0,2
00001B000000000309A8EDA598631981,00001B000000000309A8EDA598637FC1,,エスカＥ１６出入口,2,0,2
00001B000000000309A8EC2598639981,00001B000000000309A8EC259863FFC2,,エスカＥ１５出入口,2,0,1
00001B000000000309A8F52598579981,00001B000000000309A8F5259857FFC2,,エスカＥ７出入口,2,0,3
00001B000000000309A8EF25985B1981,00001B000000000309A8EF25985B7FC2,,エスカＥ６出入口,1,0,3
00001B000000000309A8EA25985D9981,00001B000000000309A8EA25985DFFC2,,エスカＥ５出入口,2,0,3
00001B000000000309A8F52598689981,00001B000000000309A8F5259868FFC1,,エスカＥ１０出入口,3,0,0
00001B000000000309A8E825986B1981,00001B000000000309A8E825986B7FC1,00001B000000000309A8F2A5987D1A01,桜通線名古屋駅１３出入口,3,0,3
00001B000000000309A8E325985B1981,00001B000000000309A8E325985B7FC1,,エスカＥ４出入口,1,0,3
00001B000000000309A8E52598599981,00001B000000000309A8E5259859FFC4,,エスカＥ５出入口,1,0,2
00001B000000000309A8E42598681981,00001B000000000309A8E42598687FC2,,エスカＥ１４出入口,2,0,2
00001B000000000309A8E3A598681981,00001B000000000309A8E3A598687FC2,,エスカＥ１３出入口,2,0,2
00001B000000000309A8E0A598629981,00001B000000000309A8E0A59862FFC1,,エスカＥ４出入口,2,0,3
00001B000000000309A8DE2598639981,00001B000000000309A8DE259863FFC4,,エスカＥ３出入口,1,0,3
00001B000000000309A8D92598661981,00001B000000000309A8D92598667FC1,,エスカＥ２出入口,2,0,3
00001B000000000309A8DEA5986A9981,00001B000000000309A8DEA5986AFFC2,,エスカＥ１２出入口,2,0,2
00001B000000000309A8D725986F9981,00001B000000000309A8D725986FFFC2,,エスカＥ１１出入口,2,0,3
00001B000000000309A8D425986E1981,00001B000000000309A8D425986E7FC2,,エスカＥ１１出入口,2,0,3
00001B000000000309A8D4A598689981,00001B000000000309A8D4A59868FFC3,,エスカＥ１出入口,2,0,3
00001B000000000309A8D025986B9981,00001B000000000309A8D025986BFFC2,,エスカＥ１出入口,2,0,3
00001B000000000309A8CBA598B41981,00001B000000000309A8CBA598B47FC1,00001B000000000309A8D4A598AD1A01,名鉄地下出入口,3,0,0
00001B000000000309A8CBA598B59981,00001B000000000309A8CBA598B5FFC1,,サンロードＳ７出入口,3,0,3
00001B000000000309A8B9A598851981,00001B000000000309A8B9A598857FC1,00001B000000000309A8BC2598839D81,中村警察署出入口,1,1,0
